Date: 25/08/2026 11:48:36
ATO app - myDeductions

Trips
Uploaded,Type,Status,Date,Vehicle,Purpose of trip,Start odometer*,End odometer*,Start location#,End location#,Trip details,Trip distance*,Record multiple trips*,Record the return journey*,Total Km,Logbook trip
Not uploaded,Employee,Completed,30/07/2023,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Five Senses Education Prospect Highway Seven Hills NSW Australia","Buying books ",30.79,1,Yes,61.58,N,
Not uploaded,Employee,Completed,07/08/2023,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Edu-Kingdom College Sorrell Street Parramatta NSW Australia","Regular Visit to HQ",38.61,1,Yes,77.22,N,
Not uploaded,Employee,Completed,14/08/2023,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Edu-Kingdom College Sorrell Street Parramatta NSW Australia","Regular Visit to HQ",38.61,1,Yes,77.22,N,
Not uploaded,Employee,Completed,21/08/2023,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Edu-Kingdom College Sorrell Street Parramatta NSW Australia","Regular Visit to HQ",38.61,1,Yes,77.22,N,
Not uploaded,Employee,Completed,28/08/2023,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Edu-Kingdom College Sorrell Street Parramatta NSW Australia","Regular Visit to HQ",38.61,1,Yes,77.22,N,
Not uploaded,Employee,Completed,13/08/2023,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Five Senses Education Prospect Highway Seven Hills NSW Australia","Buying books ",30.79,1,Yes,61.58,N,
Not uploaded,Employee,Completed,03/09/2023,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Five Senses Education Prospect Highway Seven Hills NSW Australia","Buying books ",30.79,1,Yes,61.58,N,
Not uploaded,Employee,Completed,04/09/2023,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Edu-Kingdom College Sorrell Street Parramatta NSW Australia","Regular Visit to HQ",38.61,1,Yes,77.22,N,
Not uploaded,Employee,Completed,10/09/2023,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Five Senses Education Prospect Highway Seven Hills NSW Australia","Buying books ",30.79,1,Yes,61.58,N,
Not uploaded,Employee,Completed,11/09/2023,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Edu-Kingdom College Sorrell Street Parramatta NSW Australia","Regular Visit to HQ",38.61,1,Yes,77.22,N,
Not uploaded,Employee,Completed,17/09/2023,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Five Senses Education Prospect Highway Seven Hills NSW Australia","Buying books ",30.79,1,Yes,61.58,N,
Not uploaded,Employee,Completed,30/08/2023,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Edu-Kingdom College Sorrell Street Parramatta NSW Australia","Regular Visit to HQ",38.61,1,Yes,77.22,N,
Not uploaded,Employee,Completed,16/08/2023,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Edu-Kingdom College Sorrell Street Parramatta NSW Australia","Regular Visit to HQ",38.61,1,Yes,77.22,N,
Not uploaded,Employee,Completed,02/08/2023,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Edu-Kingdom College Sorrell Street Parramatta NSW Australia","Regular Visit to HQ",38.61,1,Yes,77.22,N,
Not uploaded,Employee,Completed,26/07/2023,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Edu-Kingdom College Sorrell Street Parramatta NSW Australia","Regular Visit to HQ",38.61,1,Yes,77.22,N,
Not uploaded,Employee,Completed,28/06/2023,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Edu-Kingdom College Sorrell Street Parramatta NSW Australia","Regular Visit to HQ",38.61,1,Yes,77.22,N,
Not uploaded,Employee,Completed,26/06/2023,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Edu-Kingdom College Sorrell Street Parramatta NSW Australia","Regular Visit to HQ",38.61,1,Yes,77.22,N,
Not uploaded,Employee,Completed,18/09/2023,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Edu-Kingdom College Sorrell Street Parramatta NSW Australia","Regular Visit to HQ",38.61,1,Yes,77.22,N,
Not uploaded,Employee,Completed,19/09/2023,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Edu-Kingdom College Sorrell Street Parramatta NSW Australia","Regular Visit to HQ",38.61,1,Yes,77.22,N,
Not uploaded,Employee,Completed,24/09/2023,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Five Senses Education Prospect Highway Seven Hills NSW Australia","Buying books ",30.79,1,Yes,61.58,N,
Not uploaded,Employee,Completed,25/09/2023,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Edu-Kingdom College Sorrell Street Parramatta NSW Australia","Regular Visit to HQ",38.61,1,Yes,77.22,N,
Not uploaded,Employee,Completed,03/10/2023,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Edu-Kingdom College Sorrell Street Parramatta NSW Australia","Regular Visit to HQ",38.61,1,Yes,77.22,N,
Not uploaded,Employee,Completed,04/10/2023,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Edu-Kingdom College Sorrell Street Parramatta NSW Australia","HQ pickup books ",38.61,1,Yes,77.22,N,
Not uploaded,Employee,Completed,08/10/2023,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Five Senses Education Prospect Highway Seven Hills NSW Australia","Buying books ",30.79,1,Yes,61.58,N,
Not uploaded,Employee,Completed,09/10/2023,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Edu-Kingdom College Sorrell Street Parramatta NSW Australia","Regular Visit to HQ",38.61,1,Yes,77.22,N,
Not uploaded,Employee,Completed,15/10/2023,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Five Senses Education Prospect Highway Seven Hills NSW Australia","Buying books ",30.79,1,Yes,61.58,N,
Not uploaded,Employee,Completed,16/10/2023,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Edu-Kingdom College Sorrell Street Parramatta NSW Australia","Regular Visit to HQ",38.61,1,Yes,77.22,N,
Not uploaded,Employee,Completed,22/10/2023,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Five Senses Education Prospect Highway Seven Hills NSW Australia","Buying books ",30.79,1,Yes,61.58,N,
Not uploaded,Employee,Completed,23/10/2023,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Edu-Kingdom College Sorrell Street Parramatta NSW Australia","Regular Visit to HQ",38.61,1,Yes,77.22,N,
Not uploaded,Employee,Completed,29/10/2023,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Five Senses Education Prospect Highway Seven Hills NSW Australia","Buying books ",30.79,1,Yes,61.58,N,
Not uploaded,Employee,Completed,30/10/2023,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Edu-Kingdom College Sorrell Street Parramatta NSW Australia","Regular Visit to HQ",38.61,1,Yes,77.22,N,
Not uploaded,Employee,Completed,05/11/2023,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Five Senses Education Prospect Highway Seven Hills NSW Australia","Buying books ",30.79,1,Yes,61.58,N,
Not uploaded,Employee,Completed,06/11/2023,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Edu-Kingdom College Sorrell Street Parramatta NSW Australia","Regular Visit to HQ",38.61,1,Yes,77.22,N,
Not uploaded,Employee,Completed,12/11/2023,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Five Senses Education Prospect Highway Seven Hills NSW Australia","Buying books ",30.79,1,Yes,61.58,N,
Not uploaded,Employee,Completed,13/11/2023,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Edu-Kingdom College Sorrell Street Parramatta NSW Australia","Regular Visit to HQ",38.61,1,Yes,77.22,N,
Not uploaded,Employee,Completed,14/11/2023,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Five Senses Education Prospect Highway Seven Hills NSW Australia","Buying books ",30.79,1,Yes,61.58,N,
Not uploaded,Employee,Completed,19/11/2023,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Five Senses Education Prospect Highway Seven Hills NSW Australia","Buying books ",30.79,1,Yes,61.58,N,
Not uploaded,Employee,Completed,20/11/2023,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Edu-Kingdom College Sorrell Street Parramatta NSW Australia","Regular Visit to HQ",38.61,1,Yes,77.22,N,
Not uploaded,Employee,Completed,23/11/2023,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Five Senses Education Prospect Highway Seven Hills NSW Australia","Buying books ",30.79,1,Yes,61.58,N,
Not uploaded,Employee,Completed,26/11/2023,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Five Senses Education Prospect Highway Seven Hills NSW Australia","Buying books ",30.79,1,Yes,61.58,N,
Not uploaded,Employee,Completed,27/11/2023,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Edu-Kingdom College Sorrell Street Parramatta NSW Australia","Regular Visit to HQ",38.61,1,Yes,77.22,N,
Not uploaded,Employee,Completed,03/12/2023,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Five Senses Education Prospect Highway Seven Hills NSW Australia","Buying books ",30.79,1,Yes,61.58,N,
Not uploaded,Employee,Completed,04/12/2023,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Edu-Kingdom College Sorrell Street Parramatta NSW Australia","Regular Visit to HQ",38.61,1,Yes,77.22,N,
Not uploaded,Employee,Completed,10/12/2023,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Five Senses Education Prospect Highway Seven Hills NSW Australia","Buying books ",30.79,1,Yes,61.58,N,
Not uploaded,Employee,Completed,11/12/2023,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Edu-Kingdom College Sorrell Street Parramatta NSW Australia","Regular Visit to HQ",38.61,1,Yes,77.22,N,
Not uploaded,Employee,Completed,14/12/2023,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Edu-Kingdom College Sorrell Street Parramatta NSW Australia","Visit to HQ for new books",38.61,1,Yes,77.22,N,
Not uploaded,Employee,Completed,16/12/2023,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Five Senses Education Prospect Highway Seven Hills NSW Australia","Buying books ",30.79,1,Yes,61.58,N,
Not uploaded,Employee,Completed,17/12/2023,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Five Senses Education Prospect Highway Seven Hills NSW Australia","Buying books ",30.79,1,Yes,61.58,N,
Not uploaded,Employee,Completed,18/12/2023,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Edu-Kingdom College Sorrell Street Parramatta NSW Australia","Regular Visit to HQ",38.61,1,Yes,77.22,N,
Not uploaded,Employee,Completed,08/01/2024,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Edu-Kingdom College Sorrell Street Parramatta NSW Australia","Regular Visit to HQ",38.61,1,Yes,77.22,N,
Not uploaded,Employee,Completed,14/01/2024,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Five Senses Education Prospect Highway Seven Hills NSW Australia","Buying books ",30.79,1,Yes,61.58,N,
Not uploaded,Employee,Completed,15/01/2024,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Five Senses Education Prospect Highway Seven Hills NSW Australia","Buying books ",30.79,1,Yes,61.58,N,
Not uploaded,Employee,Completed,15/01/2024,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Edu-Kingdom College Sorrell Street Parramatta NSW Australia","Regular Visit to HQ",38.61,1,Yes,77.22,N,
Not uploaded,Employee,Completed,21/01/2024,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Five Senses Education Prospect Highway Seven Hills NSW Australia","Buying books ",30.79,1,Yes,61.58,N,
Not uploaded,Employee,Completed,22/01/2024,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Edu-Kingdom College Sorrell Street Parramatta NSW Australia","Regular Visit to HQ",38.61,1,Yes,77.22,N,
Not uploaded,Employee,Completed,28/01/2024,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Five Senses Education Prospect Highway Seven Hills NSW Australia","Buying books ",30.79,1,Yes,61.58,N,
Not uploaded,Employee,Completed,29/01/2024,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Edu-Kingdom College Sorrell Street Parramatta NSW Australia","Regular Visit to HQ",38.61,1,Yes,77.22,N,
Not uploaded,Employee,Completed,04/02/2024,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Five Senses Education Prospect Highway Seven Hills NSW Australia","Buying books ",30.79,1,Yes,61.58,N,
Not uploaded,Employee,Completed,05/02/2024,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Edu-Kingdom College Sorrell Street Parramatta NSW Australia","Regular Visit to HQ",38.61,1,Yes,77.22,N,
Not uploaded,Employee,Completed,09/02/2024,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Five Senses Education Prospect Highway Seven Hills NSW Australia","Buying books ",30.79,1,Yes,61.58,N,
Not uploaded,Employee,Completed,11/02/2024,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Five Senses Education Prospect Highway Seven Hills NSW Australia","Buying books ",30.79,1,Yes,61.58,N,
Not uploaded,Employee,Completed,12/02/2024,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Edu-Kingdom College Sorrell Street Parramatta NSW Australia","Regular Visit to HQ",38.61,1,Yes,77.22,N,
Not uploaded,Employee,Completed,17/02/2024,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Five Senses Education Prospect Highway Seven Hills NSW Australia","Buying books ",30.79,1,Yes,61.58,N,
Not uploaded,Employee,Completed,18/02/2024,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Five Senses Education Prospect Highway Seven Hills NSW Australia","Buying books ",30.79,1,Yes,61.58,N,
Not uploaded,Employee,Completed,19/02/2024,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Edu-Kingdom College Sorrell Street Parramatta NSW Australia","Regular Visit to HQ",38.61,1,Yes,77.22,N,
Not uploaded,Employee,Completed,25/02/2024,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Five Senses Education Prospect Highway Seven Hills NSW Australia","Buying books ",30.79,1,Yes,61.58,N,
Not uploaded,Employee,Completed,22/02/2024,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Five Senses Education Prospect Highway Seven Hills NSW Australia","Buying books ",30.79,1,Yes,61.58,N,
Not uploaded,Employee,Completed,26/02/2024,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Edu-Kingdom College Sorrell Street Parramatta NSW Australia","Regular Visit to HQ",38.61,1,Yes,77.22,N,
Not uploaded,Employee,Completed,29/02/2024,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Five Senses Education Prospect Highway Seven Hills NSW Australia","Buying books ",30.79,1,Yes,61.58,N,
Not uploaded,Employee,Completed,03/03/2024,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Five Senses Education Prospect Highway Seven Hills NSW Australia","Buying books ",30.79,1,Yes,61.58,N,
Not uploaded,Employee,Completed,04/03/2024,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Edu-Kingdom College Sorrell Street Parramatta NSW Australia","Regular Visit to HQ",38.61,1,Yes,77.22,N,
Not uploaded,Employee,Completed,10/03/2024,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Five Senses Education Prospect Highway Seven Hills NSW Australia","Buying books ",30.79,1,Yes,61.58,N,
Not uploaded,Employee,Completed,11/03/2024,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Edu-Kingdom College Sorrell Street Parramatta NSW Australia","Regular Visit to HQ",38.61,1,Yes,77.22,N,
Not uploaded,Employee,Completed,13/03/2024,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Edu-Kingdom College Sorrell Street Parramatta NSW Australia","Regular Visit to HQ",38.61,1,Yes,77.22,N,
Not uploaded,Employee,Completed,17/03/2024,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Five Senses Education Prospect Highway Seven Hills NSW Australia","Buying books ",30.79,1,Yes,61.58,N,
Not uploaded,Employee,Completed,18/03/2024,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Edu-Kingdom College Sorrell Street Parramatta NSW Australia","Regular Visit to HQ",38.61,1,Yes,77.22,N,
Not uploaded,Employee,Completed,24/03/2024,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Five Senses Education Prospect Highway Seven Hills NSW Australia","Buying books ",30.79,1,Yes,61.58,N,
Not uploaded,Employee,Completed,25/03/2024,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Edu-Kingdom College Sorrell Street Parramatta NSW Australia","Regular Visit to HQ",38.61,1,Yes,77.22,N,
Not uploaded,Employee,Completed,31/03/2024,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Five Senses Education Prospect Highway Seven Hills NSW Australia","Buying books ",30.79,1,Yes,61.58,N,
Not uploaded,Employee,Completed,01/04/2024,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Edu-Kingdom College Sorrell Street Parramatta NSW Australia","Regular Visit to HQ",38.61,1,Yes,77.22,N,
Not uploaded,Employee,Completed,06/04/2024,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Five Senses Education Prospect Highway Seven Hills NSW Australia","Buying books ",30.79,1,Yes,61.58,N,
Not uploaded,Employee,Completed,07/04/2024,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Five Senses Education Prospect Highway Seven Hills NSW Australia","Buying books ",30.79,1,Yes,61.58,N,
Not uploaded,Employee,Completed,08/04/2024,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Edu-Kingdom College Sorrell Street Parramatta NSW Australia","Regular Visit to HQ",38.61,1,Yes,77.22,N,
Not uploaded,Employee,Completed,14/04/2024,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Five Senses Education Prospect Highway Seven Hills NSW Australia","Buying books ",30.79,1,Yes,61.58,N,
Not uploaded,Employee,Completed,15/04/2024,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Edu-Kingdom College Sorrell Street Parramatta NSW Australia","Regular Visit to HQ",38.61,1,Yes,77.22,N,
Not uploaded,Employee,Completed,21/04/2024,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Five Senses Education Prospect Highway Seven Hills NSW Australia","Buying books ",30.79,1,Yes,61.58,N,
Not uploaded,Employee,Completed,22/04/2024,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Edu-Kingdom College Sorrell Street Parramatta NSW Australia","Regular Visit to HQ",38.61,1,Yes,77.22,N,
Not uploaded,Employee,Completed,28/04/2024,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Five Senses Education Prospect Highway Seven Hills NSW Australia","Buying books ",30.79,1,Yes,61.58,N,
Not uploaded,Employee,Completed,30/04/2024,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Edu-Kingdom College Sorrell Street Parramatta NSW Australia","Regular Visit to HQ",38.61,1,Yes,77.22,N,
Not uploaded,Employee,Completed,05/05/2024,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Five Senses Education Prospect Highway Seven Hills NSW Australia","Buying books ",30.79,1,Yes,61.58,N,
Not uploaded,Employee,Completed,06/05/2024,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Edu-Kingdom College Sorrell Street Parramatta NSW Australia","Regular Visit to HQ",38.61,1,Yes,77.22,N,
Not uploaded,Employee,Completed,12/05/2024,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Five Senses Education Prospect Highway Seven Hills NSW Australia","Buying books ",30.79,1,Yes,61.58,N,
Not uploaded,Employee,Completed,13/05/2024,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Edu-Kingdom College Sorrell Street Parramatta NSW Australia","Regular Visit to HQ",38.61,1,Yes,77.22,N,
Not uploaded,Employee,Completed,19/05/2024,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Five Senses Education Prospect Highway Seven Hills NSW Australia","Buying books ",30.79,1,Yes,61.58,N,
Not uploaded,Employee,Completed,20/05/2024,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Edu-Kingdom College Sorrell Street Parramatta NSW Australia","Regular Visit to HQ",38.61,1,Yes,77.22,N,
Not uploaded,Employee,Completed,26/05/2024,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Five Senses Education Prospect Highway Seven Hills NSW Australia","Buying books ",30.79,1,Yes,61.58,N,
Not uploaded,Employee,Completed,27/05/2024,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Edu-Kingdom College Sorrell Street Parramatta NSW Australia","Regular Visit to HQ",38.61,1,Yes,77.22,N,
Not uploaded,Employee,Completed,02/06/2024,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Five Senses Education Prospect Highway Seven Hills NSW Australia","Buying books ",30.79,1,Yes,61.58,N,
Not uploaded,Employee,Completed,03/06/2024,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Edu-Kingdom College Sorrell Street Parramatta NSW Australia","Regular Visit to HQ",38.61,1,Yes,77.22,N,
Not uploaded,Employee,Completed,09/06/2024,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Five Senses Education Prospect Highway Seven Hills NSW Australia","Buying books ",30.79,1,Yes,61.58,N,
Not uploaded,Employee,Completed,10/06/2024,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Edu-Kingdom College Sorrell Street Parramatta NSW Australia","Regular Visit to HQ",38.61,1,Yes,77.22,N,
Not uploaded,Employee,Completed,16/06/2024,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Five Senses Education Prospect Highway Seven Hills NSW Australia","Buying books ",30.79,1,Yes,61.58,N,
Not uploaded,Employee,Completed,17/06/2024,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Edu-Kingdom College Sorrell Street Parramatta NSW Australia","Regular Visit to HQ",38.61,1,Yes,77.22,N,
Not uploaded,Employee,Completed,23/06/2024,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Five Senses Education Prospect Highway Seven Hills NSW Australia","Buying books ",30.79,1,Yes,61.58,N,
Not uploaded,Employee,Completed,24/06/2024,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Edu-Kingdom College Sorrell Street Parramatta NSW Australia","Regular Visit to HQ",38.61,1,Yes,77.22,N,
Not uploaded,Employee,Completed,30/06/2024,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Five Senses Education Prospect Highway Seven Hills NSW Australia","Buying books ",30.79,1,Yes,61.58,N,
Not uploaded,Employee,Completed,01/07/2024,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Edu-Kingdom College Sorrell Street Parramatta NSW Australia","Regular Visit to HQ",38.61,1,Yes,77.22,N,
Not uploaded,Employee,Completed,07/07/2024,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Five Senses Education Prospect Highway Seven Hills NSW Australia","Buying books ",30.79,1,Yes,61.58,N,
